"","session","hex01","hex02","hex03","hex04","hex05","hex06","hex07","hex08","hex09","hex10","hex11","hex12","hex13","hex14","hex15","hex16","hex17","hex18","hex19","hex20","hex21","hex22","hex23","hex24","hex25","hex26","hex27","hex28","hex29","hex30","hex31","hex32","hex33","hex34","hex35","hex36","hex37","hex38","hex39","hex40","hex41","hex42","hex43","hex44","hex45","hex46","hex47","hex48","hex49","hex50","hex51","hex52","hex53","hex54","hex55","hex56","hex57","hex58","hex59","hex60","responsive02","responsive03","responsive04","responsive05","commit01","commit02","commit03","commit04","commit05","commit06","commit07","age","matevalue01","matevalue02_R","matevalue03","satis01","satis02","satis03","satis04","satis05","responsive01","sex","phex01","phex02","phex03","phex04","phex05","phex06","phex07","phex08","phex09","phex10","phex11","phex12","phex13","phex14","phex15","phex16","phex17","phex18","phex19","phex20","phex21","phex22","phex23","phex24","phex25","phex26","phex27","phex28","phex29","phex30","phex31","phex32","phex33","phex34","phex35","phex36","phex37","phex38","phex39","phex40","phex41","phex42","phex43","phex44","phex45","phex46","phex47","phex48","phex49","phex50","phex51","phex52","phex53","phex54","phex55","phex56","phex57","phex58","phex59","phex60","relation_type","year","month","HH","EM","EX","AG","CO","OP","pHH","pEM","pEX","pAG","pCO","pOP","matevalue","satis","commit","responsive"
"159","KieRploAm6oa8PnoJhGfzBzi_nTp2qTH61OjLT4MO5RnZR2hmQLaalHLSi3pkZf9",2,2,1,1,2,2,1,2,3,1,5,2,3,2,5,4,5,2,2,4,3,1,4,2,4,4,1,2,5,4,3,3,2,2,1,2,5,4,4,2,1,5,5,4,1,5,5,4,4,4,2,5,1,4,2,4,2,3,1,2,2,8,1,3,9,3,1,1,9,9,3,22,1,2,2,8,7,5,6,9,6,2,4,2,4,4,2,2,2,2,1,2,1,1,1,4,1,4,4,1,2,2,1,5,1,4,1,4,4,1,4,4,5,5,4,4,2,1,2,2,5,4,4,5,2,4,5,2,4,2,5,1,4,2,2,2,4,4,1,2,5,2,3,3,1,2.7,4.6,2.4,2.2,2.7,3.5,2.4,2.7,4,4.6,2,1.8,3.66666666666667,7,6.71428571428571,5.2
"160","5BRD0rh0kA7RVbb6V8-vPceGm7LNn5fX4NH2WW0YMbIcrnubIxfEnLFEVvXGVvsZ",4,4,2,3,3,4,3,4,1,2,4,1,4,3,2,5,5,3,3,1,2,3,5,5,3,5,3,1,5,1,4,2,5,3,2,3,5,4,3,3,2,3,4,2,3,3,5,3,2,4,4,3,3,4,5,3,4,3,2,1,4,7,4,5,6,6,4,4,6,6,7,23,7,4,8,7,8,7,7,8,7,2,2,3,2,3,1,4,4,4,1,1,2,1,1,5,3,4,4,2,3,4,1,4,2,3,4,3,4,2,1,2,1,3,4,4,2,4,2,3,4,4,3,2,5,4,4,2,2,3,2,2,5,2,5,4,3,2,2,3,3,1,3,2,3,3.6,4.2,3.5,3.5,3.6,3.1,3.8,2.3,3.9,4,2.7,3.5,7,7.4,5.57142857142857,4.6
"165","rouojGr7Yb-DUxeeA8UGIgYWWyfHtyqEnTzfHDtnoIBvhUC4OwSkwQypVcDrIN2R",2,4,1,3,2,2,4,4,2,2,3,2,4,3,4,2,2,1,2,2,2,2,3,3,4,2,2,2,4,4,1,2,3,3,2,2,3,4,4,3,4,4,4,2,3,3,4,2,3,3,4,2,4,4,3,2,4,3,2,2,2,9,5,9,9,9,2,1,6,9,9,24,6,4,6,9,9,9,8,9,9,1,2,4,2,2,4,2,3,2,1,2,4,1,4,2,3,2,4,3,4,2,2,4,4,2,4,3,1,2,5,4,2,2,2,3,4,2,3,3,4,3,4,5,4,4,4,2,5,2,2,3,4,4,2,2,4,4,2,3,2,1,3,4,10,2.8,3,3.1,2.9,3.8,3.8,3,3.8,3.1,3.3,3.1,3.4,6,8.8,7.85714285714286,6.4
"174","SBoZMklmKJEJpDS5viKqhXlaV-6NcVKEJJiLUvvLBxbvQVXYl5fPU1uZgR_BK0yO",4,4,3,3,2,3,2,4,2,3,4,1,1,3,3,2,4,2,2,2,2,4,2,3,1,4,1,3,4,3,5,2,3,2,2,4,4,4,4,3,1,4,4,4,3,3,4,4,4,2,4,3,4,3,4,2,3,2,2,1,2,7,5,5,8,5,2,1,4,9,8,23,5,5,5,5,3,3,5,3,5,2,4,3,4,3,3,4,3,3,2,3,3,1,1,4,3,3,4,2,4,3,2,3,1,3,2,3,2,2,3,2,2,3,3,2,3,3,3,3,3,2,2,3,3,3,1,3,3,2,4,2,4,3,3,3,3,3,2,2,4,2,3,0,8,3.2,3.5,2.8,3.2,3.3,2.3,3.5,2.9,2.8,3.2,2.8,2.5,5,3.8,6.71428571428571,4.4
"178","5wr3s3hj7yFGL2Ra1D72Fnkb8g5wzvQsUOxURkNnKUP0QIWmYnaKWMYQKsbckafT",2,5,2,2,3,5,3,4,1,2,1,1,5,3,5,5,1,1,2,1,3,5,1,3,4,4,1,2,2,1,4,1,5,4,1,5,5,5,2,5,5,5,5,3,3,1,3,3,3,5,3,5,5,5,1,3,3,3,4,1,3,7,9,9,8,7,1,1,3,8,9,21,5,2,5,7,7,4,8,9,9,1,1,2,1,4,5,5,3,1,3,5,5,5,5,3,5,2,5,1,5,5,5,4,5,3,2,4,1,5,5,4,5,4,1,1,4,1,4,1,2,1,1,5,5,5,1,1,5,3,5,1,1,1,1,3,3,2,5,1,1,1,3,2,5,3.8,2,3.8,2.8,4,4,2.5,4.7,2.5,1.3,1.8,3,6,7,7,5
"179","5oS0rbRQGZIEFXo1C_HC7QZm6TuLX-CwD_5b0Q6rFJiQGqSmSFtvXYOCNLXxZCQt",2,4,4,5,5,5,2,2,2,2,5,1,1,2,2,3,3,4,3,3,1,5,1,3,1,4,2,2,5,1,5,2,5,2,2,4,3,5,5,3,2,5,5,4,5,2,5,1,3,3,4,4,1,5,2,3,1,3,2,1,2,9,1,9,9,7,1,1,9,9,9,26,6,6,5,7,6,4,7,5,9,2,4,5,1,5,2,5,3,5,5,1,4,1,3,5,5,1,4,2,3,1,1,5,1,5,3,5,1,1,4,4,3,1,1,4,1,2,5,5,4,3,4,5,5,5,5,1,1,5,1,3,2,1,5,1,5,3,2,4,5,3,3,2,5,4.2,4.1,3.5,4.3,3.2,2.7,2.3,2.5,4.2,2.5,3.4,3.3,5,5.8,8.14285714285714,7.2
"181","Xrs9_UENAswhXqjr-U7kI8Q0MC0hOjUH3uCH26djugNN550GtiKf8xWlQBR2km34",2,3,1,4,4,4,2,4,3,3,5,4,4,4,5,2,2,2,3,4,3,4,5,1,4,4,5,3,3,2,1,2,4,1,2,3,3,4,4,1,4,4,4,3,2,1,3,1,2,2,4,2,4,5,4,3,4,3,4,4,5,5,9,3,7,3,4,7,6,7,8,23,4,4,5,5,7,5,7,8,5,2,3,5,3,4,2,4,2,2,1,3,2,3,1,4,3,4,4,2,4,1,2,4,2,1,2,3,3,3,3,2,1,1,5,3,4,4,2,4,4,3,2,4,3,2,2,3,4,3,4,2,5,2,3,4,4,3,4,2,3,4,3,0,8,3.4,3.2,3,2.9,2.9,3.5,3.3,2.9,3.3,3.6,3.5,2.4,5,6.4,5.14285714285714,2.2
"183","yKYlD0lh3f1mdYIMBWhBqPlTxQhDHH3ioM_IUTC7JYND92mur3fQwe-w9QA3p99L",1,5,5,5,1,4,1,4,1,1,2,1,5,1,1,4,2,4,2,1,1,5,4,5,2,1,2,1,4,3,1,1,4,4,3,3,5,5,5,5,4,4,5,1,5,1,3,3,1,2,5,1,5,4,1,1,2,3,5,2,1,9,5,7,6,6,1,1,2,5,5,25,7,1,8,4,4,5,5,7,8,2,1,1,5,2,1,5,5,1,1,1,1,1,4,1,2,5,4,1,2,1,3,2,4,5,1,4,4,3,5,1,1,4,4,5,1,4,5,3,4,5,4,5,5,4,2,1,4,5,1,2,2,4,4,5,2,2,4,5,2,1,3,12,2,3.3,2.3,4.6,4.5,4.6,4.2,3.3,3.2,3.9,3.5,2.7,4.3,8,5,5.42857142857143,6
"184","RjijxW2DHW5ARJ7glWy7ndLMPIFMcOjGzpAGnhyYsyHKNzsmOatZSktneleGkCyP",3,5,3,5,2,3,2,3,3,3,3,1,2,2,5,5,5,2,4,3,4,4,4,3,3,5,5,2,4,4,5,3,5,4,2,3,2,5,2,4,3,4,5,2,2,2,4,2,5,3,4,1,2,5,3,2,4,2,3,1,1,9,1,9,9,9,1,1,7,9,9,25,6,3,6,9,9,8,9,9,9,2,3,5,5,4,5,5,2,3,2,2,1,1,2,1,5,4,5,4,2,1,1,5,4,3,3,2,5,1,2,4,2,1,5,4,3,5,4,5,5,2,3,5,5,1,1,2,5,2,1,5,5,1,5,4,3,2,2,5,3,1,3,4,1,3.4,3.6,4,2.9,3.5,2.4,3.8,3.2,4.2,4,4.6,3.5,6.33333333333333,8.8,8.14285714285714,7.4
"189","4NrjKrL55xVhg4kt9qjrWcf71abd0_QaLTyprkv2hwnOZipk3Ckp6yeBaWU0AVaF",1,4,1,5,5,5,4,2,4,1,5,1,5,1,4,4,5,1,1,2,3,5,3,2,4,4,1,1,5,4,2,1,5,4,2,5,5,4,4,3,1,4,3,2,4,2,4,2,1,3,1,1,4,4,1,4,2,4,2,1,1,9,2,9,9,9,1,1,9,9,9,22,2,3,6,8,9,9,9,9,9,1,1,2,4,5,5,2,5,2,2,2,4,2,5,1,2,5,5,1,1,1,2,5,4,2,5,5,1,1,5,2,2,1,5,3,1,2,5,1,3,4,1,5,3,1,1,2,5,2,1,4,2,1,2,5,1,1,2,3,2,1,3,1,5,3.7,4.2,4.4,2.7,3.5,4.5,3.2,4.6,4.3,3.2,3.5,4.7,5,8.8,8.42857142857143,7.2
"190","6oDrTL_IU4RR6hElk_I1eTh3u9F2YVt5b0Jowc5CAENU01AwWz4HDIr7XlxhG6Vw",1,5,1,3,5,3,1,5,4,4,5,1,1,1,5,1,5,4,3,3,1,3,5,3,2,5,1,3,5,2,1,1,5,2,2,5,1,5,3,2,2,4,2,4,2,5,5,3,4,4,5,3,4,1,5,1,5,2,2,1,2,9,1,6,9,6,1,1,7,9,8,23,5,2,7,9,4,6,6,7,8,2,2,5,2,5,3,4,3,5,5,1,1,1,5,2,5,1,5,2,4,1,2,4,1,4,1,4,2,1,2,1,2,1,4,1,3,5,5,5,3,1,1,1,5,4,5,3,5,1,1,4,5,4,3,5,5,2,2,5,4,1,3,1,11,3.5,4.4,2.2,2.6,4,2.3,4.3,3,3.2,3.1,4.1,3.5,6.66666666666667,6.4,7.57142857142857,6.4
"192","wxSeftyrBe9Y3JhtAX6KVnrDkI-Me68eD2VwR_o_9LgW5Klnc7DB8XyNcK9ozu9G",5,5,1,3,4,1,3,3,1,2,4,5,1,4,1,1,1,1,1,1,1,3,1,1,1,4,1,4,5,5,1,2,5,2,2,1,3,3,5,1,5,3,5,2,2,1,5,1,3,1,5,5,1,5,1,2,5,1,5,5,2,8,1,9,9,9,1,2,3,9,3,22,7,7,3,9,9,6,7,8,9,1,1,4,2,4,5,4,1,2,1,2,5,5,1,4,1,4,5,1,3,2,1,4,5,1,3,5,2,1,5,1,5,4,5,2,3,3,1,4,5,2,2,5,3,4,2,2,5,1,2,1,5,1,1,5,5,5,4,2,1,3,3,3,3,2.4,3.1,2.3,3.5,3.3,3.2,3.3,4.7,3.6,3.8,2.3,2.3,4.33333333333333,7.8,6.57142857142857,7
"195","q7WVrMlk8LcJwrLiiAwVWe1yEaSAyIJvPEvaC4O6GOA8vPBx3vzDAkySioJzThfJ",3,5,2,4,2,4,1,2,3,2,3,1,2,2,2,4,4,3,2,3,2,4,4,3,2,5,2,2,4,2,4,3,4,4,3,4,4,4,4,4,2,3,5,4,4,4,3,3,3,3,4,2,3,5,3,3,2,2,3,1,2,7,2,7,9,8,1,1,6,9,8,23,3,5,5,9,7,6,8,8,9,1,3,3,1,4,4,4,2,3,2,4,4,2,2,2,2,3,5,2,3,3,3,4,4,3,2,4,3,2,4,2,3,2,4,2,3,4,3,3,4,2,1,4,3,4,3,2,4,3,3,3,5,2,2,4,4,3,1,3,2,1,3,0,2,3.9,3.3,3.6,3.5,3,2.9,3.5,4.1,3.2,3.6,3,2.6,4.33333333333333,7.6,7.71428571428571,6.2
"196","r8auni6BKKQLOLcJRsPdxn8hxVI0gbO3fWjQnkdAOmuynv6OnfmqpF-zB2RPfxjq",1,2,4,4,4,2,4,1,2,2,3,1,5,4,1,2,5,2,2,4,1,4,4,3,5,3,4,3,5,3,3,1,4,3,3,3,4,5,5,4,2,4,4,2,4,2,5,2,3,1,4,1,2,4,1,3,2,2,1,1,3,7,2,7,9,8,4,3,6,7,7,21,3,2,6,7,5,6,7,8,7,2,2,3,4,4,3,5,5,2,3,3,2,2,4,3,3,4,4,3,4,3,1,4,3,3,4,3,3,2,4,2,4,1,4,4,3,4,3,3,5,4,2,3,4,3,2,2,2,2,2,2,4,3,2,4,1,2,4,4,2,2,2,0,1,3.3,4.2,3.5,4.3,2.8,4.2,3.8,3.3,3.8,3.5,3.1,3.7,5.66666666666667,6.6,6.57142857142857,5.6
"202","VJWogJskfTQOBitbRspni89c7qLY_ZxUZIB9EIiT6YChwYOS4_QKOJo9vSCr4DTZ",3,5,4,4,4,3,4,4,2,2,4,1,2,4,2,3,2,4,2,2,1,4,4,3,3,4,4,1,2,1,5,1,5,3,3,2,3,4,4,3,2,5,2,2,2,1,4,3,3,3,2,1,3,3,3,2,1,2,4,1,1,5,5,7,8,8,4,1,5,7,8,26,5,5,5,5,7,5,6,5,5,2,3,2,5,4,5,1,5,1,1,1,4,1,5,2,1,4,4,1,5,2,1,4,5,4,3,3,5,1,5,3,1,1,5,4,1,5,3,5,2,3,1,5,1,3,5,1,4,2,2,3,5,1,1,5,1,3,1,4,1,1,3,5,7,3.4,3.2,3.8,3.9,3.7,2.8,3.2,4.7,4.3,4.7,3.3,3.5,5,5.6,6.71428571428571,4.6
"215","x1aF5gmUoi4kbUqvHLi7fBUy338D67PLVulsqMVWw-4bJEETMoXDeZssb8R9ZCxx",3,3,2,5,4,3,1,1,5,4,3,2,1,1,2,4,2,2,1,2,5,3,4,2,2,2,2,3,2,3,3,3,4,2,1,2,4,4,3,1,5,2,1,3,2,3,2,2,1,4,4,1,2,1,2,4,4,3,2,2,1,9,1,9,9,9,1,1,9,9,9,22,1,9,1,9,9,9,9,9,9,1,4,5,3,4,3,3,3,3,3,4,3,4,2,3,4,3,4,2,2,4,3,4,3,2,4,4,5,3,4,5,3,3,4,4,4,3,4,2,4,5,5,3,4,2,4,2,4,3,3,2,4,4,2,3,3,1,1,4,3,2,3,3,3,3.1,3.1,3.1,2.5,3.3,2.9,2.8,3.1,3.5,3.7,3.1,3.2,1,9,8.42857142857143,7.4
"223","57DmqJaHzQG5X5_iwrHh95wobmz3TniwgMLHEN2Ja3WdPauzUPUZsg_-opmci9a2",1,5,4,4,2,3,5,3,5,2,5,5,3,1,5,3,4,1,1,3,2,5,1,3,3,3,3,3,5,3,5,4,3,3,2,1,2,2,3,4,3,5,3,2,5,4,1,1,1,3,3,1,4,3,1,4,3,3,5,3,4,8,6,5,9,8,8,2,6,8,8,26,5,6,8,7,7,5,8,7,7,2,3,3,3,4,4,5,4,1,2,5,3,4,4,2,5,3,4,3,2,3,1,3,3,4,3,3,3,2,4,2,4,3,4,2,4,4,2,4,3,4,3,3,4,2,4,3,4,4,4,3,5,2,3,3,2,3,3,4,3,1,3,1,1,2.4,2.8,3.6,3,3.2,3.7,3.3,3.3,3.2,3.5,3.1,3.2,5.66666666666667,6.8,6.42857142857143,4.4
"231","qtR-3Nwgu75SkMosLmUZwq-bAQTEPs5kWRZ4_J9SuFKMVaS_KWMHJ68w9fuLTRB2",4,3,3,4,3,4,2,3,2,3,3,5,4,3,4,3,3,1,2,2,1,3,3,3,3,3,4,2,3,3,3,2,3,4,3,3,3,3,3,4,2,3,4,3,4,3,3,3,3,3,4,2,3,3,3,4,3,3,3,4,2,8,3,7,9,7,2,1,7,9,9,20,6,3,7,8,8,8,9,9,8,2,3,4,3,4,2,3,4,4,3,2,3,3,2,2,3,3,4,4,3,2,2,4,3,3,3,3,3,2,3,3,3,2,4,4,3,3,3,4,3,3,2,3,4,3,4,2,4,3,3,3,3,2,4,3,4,3,3,4,3,3,3,7,6,2.6,3.1,3.5,3.5,3.1,3.1,3.1,3.1,3.8,3.3,3.6,3,6.66666666666667,8.4,7.71428571428571,6
"246","rBiFgKyuAEKVs5LE_I_D1fHpf5ImPtXNuiXkq1sWoqMdRN7zZaXRdU7YhNVVOSKU",1,4,2,4,4,5,4,3,4,2,5,1,5,2,1,2,5,2,1,2,4,5,2,1,5,2,2,2,4,2,1,1,3,2,4,5,2,4,4,1,1,2,5,2,2,4,2,2,5,1,1,1,2,5,1,2,2,2,4,1,2,5,2,9,9,9,1,1,7,9,9,22,6,4,2,9,9,7,9,6,9,2,1,5,4,4,5,4,4,5,1,4,4,1,4,2,4,1,5,4,2,1,1,4,2,1,5,3,4,4,3,2,2,1,4,1,4,5,2,5,4,1,4,2,5,2,4,2,4,1,5,4,4,5,3,5,1,2,2,2,1,1,3,0,1,4.4,3.5,3.1,2.7,3.7,4.2,4.6,3.5,2.2,4,4.4,3.9,4.66666666666667,8,8.14285714285714,6.2
"253","wt-4qTxZJbKoxLrFjjpJvlJHRzxnq4nTBpr_TUkuKBWO-3lgDjSs8aKr0BOXFJEI",1,4,2,4,4,5,4,4,4,3,3,1,4,4,3,2,5,4,1,2,4,5,4,1,5,4,2,3,4,4,1,2,2,3,3,5,1,5,4,2,1,3,5,2,3,3,4,1,5,2,1,1,4,5,1,2,4,2,3,1,2,7,3,7,9,9,1,1,7,9,9,22,6,3,6,9,9,7,9,7,7,2,1,5,5,4,5,4,4,4,1,4,2,1,4,2,4,1,5,4,1,2,1,4,3,1,5,2,4,3,4,3,1,1,5,1,4,5,1,5,4,2,3,2,5,2,4,2,4,1,5,4,4,4,4,5,1,2,2,2,2,1,3,0,1,4.4,3.7,3.2,2.3,3.5,4,4.5,3.4,2.5,4.2,4.3,4,6.33333333333333,8.2,8.14285714285714,5.6
"256","b-DlUKPb2oj1i1jL8LyiJAPn7JyJFpZ1kKJ5a57Qsv3BRO0CyjpchIrt3Xwvg8EM",2,4,2,4,5,4,3,2,1,2,5,1,1,1,2,3,4,5,3,3,1,4,1,4,1,2,3,2,5,1,4,2,3,2,3,4,4,5,4,3,2,5,4,3,5,3,5,1,4,1,5,4,1,5,2,2,1,3,2,1,4,8,1,6,9,9,1,1,8,9,7,26,5,5,2,6,7,4,8,4,8,2,4,4,2,4,2,2,4,5,4,2,4,2,3,4,4,3,4,4,3,2,1,5,1,5,3,4,1,1,4,4,3,1,2,4,2,2,5,5,2,3,4,5,3,4,4,1,3,5,1,4,2,1,4,1,4,2,2,4,4,1,3,2,8,4.1,4.1,3.2,4.1,3.5,2.8,2.3,2.8,4.2,2.6,3.7,3.3,4,5.8,8,5.8
"260","xhxsyom9gMDzJo8o5vCHVR4gQqUSv3lH4-bhi_QgNz2_CgWOOHy8MW67-d4ZndYi",1,4,3,4,4,4,4,3,1,3,4,2,4,3,1,2,4,2,1,2,1,4,3,1,5,4,3,2,5,4,2,1,5,2,2,4,3,4,4,4,1,4,4,2,2,2,5,3,1,2,5,4,1,5,3,1,1,2,1,1,3,8,4,7,9,8,2,1,6,9,8,23,5,2,8,7,5,7,8,7,8,2,2,1,3,4,2,5,4,1,2,3,4,2,4,5,3,3,4,2,1,4,2,4,1,1,5,4,4,2,4,4,3,3,3,2,2,3,3,1,4,3,2,4,3,5,4,2,2,1,3,2,2,4,1,2,5,4,3,2,2,2,3,2,1,3.6,4.4,3.1,4.2,3.6,4.2,3.4,3.4,3.1,3.4,1.6,3.5,7,6.8,7.57142857142857,5.6
"268","9bPmpS2xvQjpz2fnIFswmqBTS0Q15JDq6YJX1P9Z67LdwvcIggaIHTyn3nS_uqyd",1,4,5,2,1,3,2,4,1,2,5,2,5,4,4,1,2,2,2,3,2,2,5,2,5,3,4,1,4,2,2,2,5,5,1,2,3,3,4,3,1,4,5,4,4,3,4,4,3,2,5,5,2,2,2,2,1,3,1,2,2,8,3,7,8,7,2,5,7,8,4,24,8,3,7,7,3,5,4,6,6,2,2,4,4,4,2,4,2,4,2,3,2,2,1,2,4,4,3,3,2,3,1,4,2,3,2,4,3,1,4,3,3,2,4,2,2,3,3,4,2,3,4,2,2,2,4,2,2,3,4,2,5,2,2,4,3,2,3,4,3,2,3,0,1,2.9,4,2.9,4.3,3.1,4,3.5,2.8,3.7,3.6,3.5,2.6,7.33333333333333,5,6.14285714285714,5.6
"271","_C1wGuLkAtlbhM-tT372pE_4uDZFJ2VkyVCGBefa2g_Yo5lPyEtqjp0N64hrtXdi",4,5,1,5,5,5,2,4,4,2,4,1,4,1,4,4,3,2,2,2,2,5,4,2,4,4,2,2,5,4,2,2,4,5,4,3,5,5,5,5,2,4,5,3,4,1,5,4,1,4,4,1,2,2,3,1,4,4,1,1,1,9,2,9,9,9,2,1,6,9,9,25,6,3,5,9,9,9,8,9,9,1,5,1,5,5,5,5,2,2,1,1,1,1,4,5,1,5,5,3,2,5,4,5,3,2,2,5,4,1,4,2,4,5,5,3,5,3,4,2,3,3,2,3,5,5,4,1,5,3,3,3,5,2,4,5,4,5,2,3,4,1,3,5,11,3.2,4.1,4.6,3,4.1,3.8,4,3.2,4.3,4.2,1.4,2.9,6,8.8,7.85714285714286,7.2
"272","2547fmmwkuSKbF_TiDvAcLxGod4cvxb31nrAFJBd9c79iuPe-cb-p5PMfOy1Aejr",4,1,4,3,4,3,2,2,2,2,4,1,2,3,2,3,5,2,3,3,3,4,3,3,2,3,2,2,4,4,4,4,4,4,3,3,3,3,3,4,1,3,3,3,3,2,4,3,3,2,2,5,2,1,5,3,2,3,1,1,2,7,1,6,6,5,3,7,4,3,2,23,5,4,5,6,5,5,6,7,7,2,5,5,4,3,3,3,1,4,1,2,2,2,1,3,2,3,4,2,1,2,2,5,3,3,1,2,4,2,2,3,5,1,5,3,2,4,2,5,4,3,3,2,3,3,4,2,3,2,5,3,3,3,3,3,5,2,2,2,2,2,2,0,4,3,4.1,3.4,3.3,2.5,2.3,3.4,3.1,3.4,4.1,4,1.7,5.33333333333333,5.8,3.71428571428571,5.8
"273","Es998VkQfuNn3Ny8LqFUNzaGEbtspv1QmwEuXqQzOcNq7Cg0Q3iU62nTIk-QtOwX",2,4,2,4,2,2,3,4,3,1,4,3,2,4,3,4,4,1,2,2,2,4,1,2,4,4,2,2,4,2,2,1,4,4,3,2,4,4,4,2,2,2,5,2,3,4,4,4,4,3,5,2,3,2,4,2,2,4,2,1,4,7,5,5,8,6,4,3,6,8,8,23,8,1,8,8,9,7,8,8,8,2,2,4,4,4,3,4,5,3,1,2,1,1,5,2,2,3,4,4,2,2,1,5,1,1,5,2,2,1,2,2,1,1,5,3,4,2,3,4,5,3,4,2,5,2,5,1,4,2,2,2,5,1,4,3,2,2,4,4,2,1,3,1,6,2.9,3.3,3.7,3.4,3.6,3.4,4,2.5,4.1,4.2,3.8,4.4,8.33333333333333,8,6.42857142857143,4.6
"274","vIYwvnblWYHb6bJgVP-LqiEzb8WSxuw3env41KlPWW7C95fdN69QvI8PHlBJ2gq9",2,5,2,5,4,4,1,3,4,1,3,3,2,1,1,4,5,1,5,1,3,2,5,5,1,5,2,1,5,2,5,1,5,4,5,5,4,5,4,5,1,5,5,4,2,2,5,5,1,3,2,1,1,1,1,1,5,5,1,1,1,9,1,8,9,4,1,1,9,9,9,23,7,1,9,9,9,9,9,9,9,2,5,3,5,5,5,5,1,2,4,1,1,1,1,1,1,5,5,4,5,1,1,5,4,4,2,1,2,1,5,2,5,1,5,5,5,4,5,3,4,2,2,2,5,1,5,5,5,4,5,3,5,1,5,2,3,3,5,5,1,1,3,1,5,2.6,4.3,4.4,2.8,3.9,2.9,3.7,3.6,4.3,3.9,3.9,2.1,8.33333333333333,9,7.71428571428571,7.2
"275","4A2iyHxsAWFUfwbxf8mLBW8IeSEDU9DBDLHh4aC-g6RKwUr0aVogPe0O1a9IZK8q",3,5,1,5,2,1,2,4,1,3,4,5,1,1,1,2,1,5,1,1,1,3,4,2,5,1,1,2,2,3,2,1,5,3,4,2,1,5,5,4,4,1,5,5,4,4,4,1,5,1,1,5,1,4,2,1,1,5,2,1,1,9,1,7,9,6,4,1,1,8,6,23,6,4,6,6,7,4,6,3,8,2,1,5,1,5,1,2,3,3,1,1,3,1,5,1,1,4,5,2,3,1,1,4,1,5,5,1,1,1,1,5,1,3,3,2,4,1,1,5,2,5,1,5,5,1,3,2,1,5,1,1,1,1,5,1,1,1,3,5,1,1,3,1,8,3.5,3,3.2,3.7,4.1,3.1,2,2.5,4.4,2.9,4.2,4.2,6,5.2,5.85714285714286,6.8
"276","HYmHiPERAzwePjx4xT_etI-ZTDBhWlJG5TMOz7NmEqwm_0eDw861T2sjRAA8q11C",3,3,3,2,3,5,2,3,3,3,3,3,2,5,3,3,3,3,3,3,3,3,3,3,2,4,3,2,5,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,4,6,5,22,6,5,5,5,6,6,4,4,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,6,3.4,3,3,3,2.7,2.7,3,3,3,2.9,3,2.9,5.33333333333333,5,4.42857142857143,3.6
"278","xcPXRHUhOlush3o2Mu7azBlJFCtJA57T7XthA9T1Y_3AWDUop9p3Y9YLR-MjtmSg",1,5,1,4,1,2,3,2,1,2,3,5,4,1,4,1,3,2,5,2,4,4,2,2,5,1,3,2,4,4,2,1,5,4,1,5,5,2,4,5,3,5,3,1,3,2,5,4,1,1,2,1,5,4,1,2,2,5,2,2,4,7,1,4,7,9,2,1,8,9,7,24,9,1,7,8,7,8,9,9,4,2,5,5,5,5,1,1,2,2,1,2,1,5,1,4,5,5,5,2,5,1,1,5,4,4,1,2,4,1,2,5,5,1,5,4,2,2,1,5,5,5,5,5,5,2,5,1,4,5,5,4,5,1,5,4,2,1,2,5,2,3,3,0,4,2.7,3.1,4,3.1,3.8,4,1.8,2.7,4.8,4.4,4.1,1.8,8.33333333333333,8.2,7.57142857142857,4.4
"279","MXIzYuCwrQ6cP2ebV2hbuOsgi9-vIE3J5PWsu2u907D9x_d1qg-LZsXCjiIi4H1x",2,5,3,4,5,3,5,2,2,2,3,1,1,1,5,5,4,5,5,4,2,5,2,3,2,3,1,3,3,1,3,3,3,5,4,3,1,4,2,4,1,1,5,2,2,1,5,2,4,1,4,2,4,1,1,5,2,5,4,3,1,9,1,9,9,9,1,2,9,9,9,25,1,1,9,9,3,6,9,9,9,2,5,3,5,5,3,5,1,1,1,5,2,4,3,3,3,1,4,4,1,1,1,5,5,2,3,5,4,1,3,3,3,1,5,1,3,4,5,4,5,1,4,1,5,4,4,1,5,1,4,2,5,1,4,5,3,2,1,1,4,1,3,1,5,3.7,3.3,4.4,2.8,3,2.9,4.2,3.1,3,4.6,3,3.1,6.33333333333333,7.2,8.28571428571429,7.4
